received,confirmed,name,nom_count,agency,duplicate,committee,latest_action,latest_action_date,potus,desc
6/15/17,no,Jeffrey Gerrish,1,Department of State,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 06/15/2017,Obama,"Jeffrey Gerrish, of Maryland, to be a Deputy United States Trade Representative (Asia, Europe, the Middle East, and Industrial Competitiveness), with the rank of Ambassador, vice Robert W. Holleyman II."
5/25/17,no,Callista L. Gingrich,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 05/25/2017,Obama,"Callista L. Gingrich, of Virginia, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Holy See."
5/25/17,no,Michael Arthur Raynor,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 05/25/2017,Obama,"Michael Arthur Raynor, of Maryland, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federal Democratic Republic of Ethiopia."
5/16/17,no,Doug Manchester,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 05/16/2017,Obama,"Doug Manchester, of California, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Commonwealth of The Bahamas."
5/10/17,no,Jay Patrick Murray,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 05/10/2017,Obama,"Jay Patrick Murray, of Virginia, to be Alternate Representative of the United States of America for Special Political Affairs in the United Nations, with the rank of Ambassador."
4/25/17,yes,John J. Sullivan,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Yea-Nay Vote. 94, 05/24/2017,Obama,"John J. Sullivan, of Maryland, to be Deputy Secretary of State, vice Antony Blinken, resigned."
4/25/17,yes,Scott P. Brown,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Yea-Nay Vote. 94, 06/08/2017,Obama,"Scott P. Brown, of New Hampshire, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to New Zealand, and to serve concurrently and without additional compensation as Ambassador Extraordinary and Plenipotentiary of the United States of America to the Independent State of Samoa."
3/27/17,no,William Francis Hagerty IV,1,Department of State,no,Foreign Relations,Placed on Senate Executive Calendar. Calendar No. 104. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/07/2017,Obama,"William Francis Hagerty IV, of Tennessee, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Japan."
2/28/17,yes,Tulinabo Salama Mushingi,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"Tulinabo Salama Mushingi, of Virginia, a Career Member of the Senior Foreign Service, Class of Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Senegal, and to serve concurrently and without additional compensation as Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Guinea-Bissau."
2/28/17,yes,Todd Philip Haskell,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"Todd Philip Haskell, of Florida, a Career Member of the Senior Foreign Service, Class of Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of the Congo."
1/20/17,yes,David Friedman,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Yea-Nay Vote. 52, 03/23/2017,Obama,"David Friedman, of New York, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Israel."
1/20/17,yes,Nikki R. Haley,1,Department of State,no,Foreign Relations,Confirmed by the Senate by Yea-Nay Vote. 96, 01/24/2017,Obama,"Nikki R. Haley, of South Carolina, to be the Representative of the United States of America to the United Nations, with the rank and status of Ambassador Extraordinary and Plenipotentiary, and the Representative of the United States of America in the Security Council of the United Nations."
1/20/17,yes,Rex W. Tillerson,1,Department of State,no,Foreign Relations,"Motion by Senator McConnell to reconsider the vote by which Rex. W. Tillerson, of Texas, was confirmed as Secretary of State (Record Vote No. 36) tabled in Senate by Yea-Nay Vote. 55", 02/01/2017,Obama,"Rex W. Tillerson, of Texas, to be Secretary of State."
4/28/17,no,David Bernhardt,1,Department of the Interior,no,Energy and Natural Resources,Placed on Senate Executive Calendar. Calendar No. 100. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/06/2017,Obama,"David Bernhardt, of Virginia, to be Deputy Secretary of the Interior, vice Michael L. Connor."
1/20/17,yes,Ryan Zinke,1,Department of the Interior,no,Energy and Natural Resources,Confirmed by the Senate by Yea-Nay Vote. 68, 03/01/2017,Obama,"Ryan Zinke, of Montana, to be Secretary of the Interior."
6/19/17,no,Isabel Marie Keenan Patelunas,1,Department of the Treasury,no,Intelligence,Received in the Senate and referred to the Select Committee on Intelligence. (, 06/19/2017,Obama,"Isabel Marie Keenan Patelunas, of Pennsylvania, to be Assistant Secretary for Intelligence and Analysis, Department of the Treasury, vice S. Leslie Ireland."
6/6/17,no,Joseph Otting,1,Department of the Treasury,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 06/06/2017,Obama,"Joseph Otting, of Nevada, to be Comptroller of the Currency for a term of five years, vice Thomas J. Curry, term expired."
5/16/17,no,James Donovan,1,Department of the Treasury,no,Finance,Received message of withdrawal of nomination from the President. (, 05/25/2017,Obama,"James Donovan, of Virginia, to be Deputy Secretary of the Treasury, vice Sarah Bloom Raskin."
5/11/17,no,David J. Kautter,1,Department of the Treasury,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 05/11/2017,Obama,"David J. Kautter, of Virginia, to be an Assistant Secretary of the Treasury, vice Mark J. Mazur."
5/10/17,no,Andrew K. Maloney,1,Department of the Treasury,no,See S. Res. 116 - 112th Congress,Placed on Senate Executive Calendar. Calendar No. 114. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"Andrew K. Maloney, of Virginia, to be a Deputy Under Secretary of the Treasury, vice Anne Elizabeth Wall."
5/2/17,yes,Marshall Billingslea,1,Department of the Treasury,no,"Banking, Housing, and Urban Affairs",Confirmed by the Senate by Yea-Nay Vote. 65, 06/22/2017,Obama,"Marshall Billingslea, of Virginia, to be Assistant Secretary for Terrorist Financing, Department of the Treasury, vice Daniel L. Glaser."
4/24/17,no,Brent James McIntosh,1,Department of the Treasury,no,Finance,Placed on Senate Executive Calendar. Calendar No. 113. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"Brent James McIntosh, of Michigan, to be General Counsel for the Department of the Treasury, vice Christopher J. Meade, resigned."
4/24/17,no,Adam Lerrick,1,Department of the Treasury,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 04/24/2017,Obama,"Adam Lerrick, of Wyoming, to be a Deputy Under Secretary of the Treasury, vice Ramin Toloui."
4/4/17,no,Heath P. Tarbert,1,Department of the Treasury,no,"Banking, Housing, and Urban Affairs",Placed on Senate Executive Calendar. Calendar No. 95. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 05/23/2017,Obama,"Heath P. Tarbert, of Maryland, to be an Assistant Secretary of the Treasury, vice Marisa Lago."
4/4/17,yes,Sigal Mandelker,1,Department of the Treasury,no,"Banking, Housing, and Urban Affairs",Confirmed by the Senate by Yea-Nay Vote. 96, 06/21/2017,Obama,"Sigal Mandelker, of New York, to be Under Secretary for Terrorism and Financial Crimes, vice David S. Cohen, resigned."
3/21/17,no,David Malpass,1,Department of the Treasury,no,Finance,Placed on Senate Executive Calendar. Calendar No. 111. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"David Malpass, of New York, to be an Under Secretary of the Treasury, vice D. Nathan Sheets."
1/20/17,yes,Steven T. Mnuchin,1,Department of the Treasury,no,Finance,Confirmed by the Senate by Yea-Nay Vote. 53, 02/13/2017,Obama,"Steven T. Mnuchin, of California, to be Secretary of the Treasury."
6/26/17,no,Mark H. Buzby,1,Department of Transportation,no,"Commerce, Science, and Transportation","Received in the Senate and referred to the Committee on Commerce, Science, and Transportation. (", 06/26/2017,Obama,"Mark H. Buzby, of Virginia, to be Administrator of the Maritime Administration, vice Paul Nathan Jaenichen, Sr."
6/6/17,no,Steven Gill Bradbury,1,Department of Transportation,no,"Commerce, Science, and Transportation","Received in the Senate and referred to the Committee on Commerce, Science, and Transportation. (", 06/06/2017,Obama,"Steven Gill Bradbury, of Virginia, to be General Counsel of the Department of Transportation, vice Kathryn B. Thomson, resigned."
5/16/17,no,Derek Kan,1,Department of Transportation,no,"Commerce, Science, and Transportation","Committee on Commerce, Science, and Transportation. Hearings held. (", 06/08/2017,Obama,"Derek Kan, of California, to be Under Secretary of Transportation for Policy, vice Blair Anderson."
5/10/17,no,Adam J. Sullivan,1,Department of Transportation,no,See S. Res. 116 - 112th Congress,"Placed on Senate Executive Calendar pursuant to S.Res. 116, 112th Congress. Calendar No. 155. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (", 06/21/2017,Obama,"Adam J. Sullivan, of Iowa, to be an Assistant Secretary of Transportation, vice Dana G. Gresham."
3/21/17,yes,Jeffrey A. Rosen,1,Department of Transportation,no,"Commerce, Science, and Transportation",Confirmed by the Senate by Yea-Nay Vote. 56, 05/16/2017,Obama,"Jeffrey A. Rosen, of Virginia, to be Deputy Secretary of Transportation, vice Victor M. Mendez."
1/20/17,yes,Elaine L. Chao,1,Department of Transportation,no,"Commerce, Science, and Transportation",Confirmed by the Senate by Yea-Nay Vote. 93, 01/31/2017,Obama,"Elaine L. Chao, of Kentucky, to be Secretary of Transportation."
6/26/17,no,James Byrne,1,Department of Veterans Affairs,no,Veterans' Affairs,Received in the Senate and referred to the Committee on Veterans' Affairs. (, 06/26/2017,Obama,"James Byrne, of Virginia, to be General Counsel, Department of Veterans Affairs, vice Leigh A. Bradley, resigned."
6/26/17,no,Thomas G. Bowman,1,Department of Veterans Affairs,no,Veterans' Affairs,Received in the Senate and referred to the Committee on Veterans' Affairs. (, 06/26/2017,Obama,"Thomas G. Bowman, of Florida, to be Deputy Secretary of Veterans Affairs, vice Sloan D. Gibson."
5/16/17,no,Brooks D. Tucker,1,Department of Veterans Affairs,no,See S. Res. 116 - 112th Congress,"Placed on Senate Executive Calendar in the Privileged Nomination section with nominee information requested by the Committee on Veterans' Affairs, pursuant to S.Res. 116, 112th Congress. (", 05/16/2017,Obama,"Brooks D. Tucker, of Maryland, to be an Assistant Secretary of Veterans Affairs (Congressional and Legislative Affairs), vice Joan M. Evans, resigned."
1/20/17,yes,David J. Shulkin,1,Department of Veterans Affairs,no,Veterans' Affairs,Confirmed by the Senate by Yea-Nay Vote. 100, 02/13/2017,Obama,"David J. Shulkin, of Pennsylvania, to be Secretary of Veterans Affairs."
5/16/17,no,Susan Parker Bodine,1,Environmental Protection Agency,no,Environment and Public Works,Committee on Environment and Public Works. Hearings held. (, 06/13/2017,Obama,"Susan Parker Bodine, of Maryland, to be an Assistant Administrator of the Environmental Protection Agency, vice Cynthia Giles."
1/20/17,yes,Scott Pruitt,1,Environmental Protection Agency,no,Environment and Public Works,Confirmed by the Senate by Yea-Nay Vote. 52, 02/17/2017,Obama,"Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency."
6/26/17,no,Michael Rigas,1,Executive Office of the President,no,Homeland Security and Governmental Affairs,Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs. (, 06/26/2017,Obama,"Michael Rigas, of Massachusetts, to be Deputy Director of the Office of Personnel Management, vice Christine M. Griffin."
6/19/17,no,Gregory Doud,1,Executive Office of the President,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 06/19/2017,Obama,"Gregory Doud, of Kansas, to be Chief Agricultural Negotiator, Office of the United States Trade Representative, with the rank of Ambassador, vice Darci L. Vetter."
5/18/17,no,Neomi Rao,1,Executive Office of the President,no,Homeland Security and Governmental Affairs,Placed on Senate Executive Calendar. Calendar No. 154. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/21/2017,Obama,"Neomi Rao, of the District of Columbia, to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget, vice Howard A. Shelanski."
5/16/17,no,Kevin Allen Hassett,1,Executive Office of the President,no,"Banking, Housing, and Urban Affairs",Placed on Senate Executive Calendar. Calendar No. 110. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"Kevin Allen Hassett, of Massachusetts, to be Chairman of the Council of Economic Advisers, vice Jason Furman."
5/2/17,no,Russell Vought,1,Executive Office of the President,no,"Budget, Homeland Security and Governmental Affairs",Placed on Senate Executive Calendar. Calendar No. 153. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/21/2017,Obama,"Russell Vought, of Virginia, to be Deputy Director of the Office of Management and Budget, vice Brian C. Deese."
4/24/17,no,Vishal J. Amin,1,Executive Office of the President,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 118. (, 06/15/2017,Obama,"Vishal J. Amin, of Michigan, to be Intellectual Property Enforcement Coordinator, Executive Office of the President, vice Daniel Henry Marti."
1/30/17,yes,Mick Mulvaney,1,Executive Office of the President,no,"Budget, Homeland Security and Governmental Affairs",Confirmed by the Senate by Yea-Nay Vote. 51, 02/16/2017,Obama,"Mick Mulvaney, of South Carolina, to be Director of the Office of Management and Budget, vice Shaun L. S. Donovan, resigned."
1/20/17,yes,Robert Lighthizer,1,Executive Office of the President,no,Finance,Confirmed by the Senate by Yea-Nay Vote. 82, 05/11/2017,Obama,"Robert Lighthizer, of Florida, to be United States Trade Representative, with the rank of Ambassador Extraordinary and Plenipotentiary."
6/19/17,no,Scott Garrett,1,Export-Import Bank of the United States,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 06/19/2017,Obama,"Scott Garrett, of New Jersey, to be President of the Export-Import Bank of the United States for a term expiring January 20, 2021, vice Fred P. Hochberg, resigned."
6/19/17,no,Spencer Bachus III,1,Export-Import Bank of the United States,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 06/19/2017,Obama,"Spencer Bachus III, of Alabama, to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20, 2021, vice Larry W. Walther, term expired."
6/15/17,no,Jessica Rosenworcel,1,Federal Communications Commission,no,"Commerce, Science, and Transportation","Received in the Senate and referred to the Committee on Commerce, Science, and Transportation. (", 06/15/2017,Obama,"Jessica Rosenworcel, of Connecticut, to be a Member of the Federal Communications Commission for a term of five years from July 1, 2015.  (Reappointment)"
3/7/17,no,Ajit Varadaraj Pai,1,Federal Communications Commission,no,"Commerce, Science, and Transportation","Received in the Senate and referred to the Committee on Commerce, Science, and Transportation. (", 03/07/2017,Obama,"Ajit Varadaraj Pai, of Kansas, to be a Member of the Federal Communications Commission for a term of five years from July 1, 2016.  (Reappointment)"
6/19/17,no,James Clinger,1,Federal Deposit Insurance Corporation,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 06/19/2017,Obama,"James Clinger, of Pennsylvania, to be a Member of the Board of Directors of the Federal Deposit Insurance Corporation for a term of six years, vice Jeremiah O'Hear Norton, resigned."
5/10/17,no,Robert F. Powelson,1,Federal Energy Regulatory Commission,no,Energy and Natural Resources,Placed on Senate Executive Calendar. Calendar No. 102. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/06/2017,Obama,"Robert F. Powelson, of Pennsylvania, to be a Member of the Federal Energy Regulatory Commission for the term expiring June 30, 2020, vice Philip D. Moeller, resigned."
5/10/17,no,Neil Chatterjee,1,Federal Energy Regulatory Commission,no,Energy and Natural Resources,Placed on Senate Executive Calendar. Calendar No. 101. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/06/2017,Obama,"Neil Chatterjee, of Kentucky, to be a Member of the Federal Energy Regulatory Commission for the term expiring June 30, 2021, vice Anthony T. Clark, resigned."
6/6/17,no,,4,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"4 nominations, beginning with Rameeth Hundle, and ending with Loren Stender"
6/6/17,no,,4,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"4 nominations, beginning with Andrew Anderson-Sprecher, and ending with Evan Nicholas Mangino"
6/6/17,no,,106,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"106 nominations, beginning with Gabriela R. Arias Villela, and ending with Haenim Yoo"
6/6/17,no,,164,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"164 nominations, beginning with Nicholas Raymond Abbate, and ending with Elizabeth Marie Wysocki"
4/25/17,yes,,12,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 06/08/2017,Obama,"12 nominations, beginning with David Gossack, and ending with Pamela Ward"
4/25/17,yes,,8,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 06/08/2017,Obama,"8 nominations, beginning with Fred Aziz, and ending with Nathalie Scharf"
4/25/17,no,David Charles Miller,1,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 04/25/2017,Obama,"One nomination, beginning with David Charles Miller, and ending with David Charles Miller"
4/25/17,yes,Scott S. Sindelar,1,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"One nomination, beginning with Scott S. Sindelar, and ending with Scott S. Sindelar"
4/25/17,no,David A. Ashford,1,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 04/25/2017,Obama,"One nomination, beginning with David A. Ashford, and ending with David A. Ashford"
4/25/17,yes,,20,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"20 nominations, beginning with Jeffery S. Austin, and ending with Jeffrey G. Willnow"
4/25/17,yes,,9,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"9 nominations, beginning with Jeanne F. Bailey, and ending with Robert Henry Hanson"
4/25/17,no,Tanya S. Urquieta,1,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 04/25/2017,Obama,"One nomination, beginning with Tanya S. Urquieta, and ending with Tanya S. Urquieta"
4/25/17,yes,,19,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"19 nominations, beginning with Jim Nelson Barnhart Jr., and ending with Anne N. Williams"
4/25/17,no,Kenneth W. MacLean,1,Foreign Service,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 04/25/2017,Obama,"One nomination, beginning with Kenneth W. MacLean, and ending with Kenneth W. MacLean"
4/25/17,yes,,96,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"96 nominations, beginning with Edward Francis Acevedo, and ending with Benjamin D. Zinner"
4/25/17,yes,,201,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"201 nominations, beginning with Joel Justin Agalsoff, and ending with Iva Ziza"
3/21/17,yes,Alexander Dickie IV,1,Foreign Service,no,Foreign Relations,Confirmed by the Senate by Voice Vote. (, 05/18/2017,Obama,"One nomination, beginning with Alexander Dickie IV, and ending with Alexander Dickie IV"
6/20/17,no,Marvin Kaplan,1,National Labor Relations Board,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/20/2017,Obama,"Marvin Kaplan, of Kansas, to be a Member of the National Labor Relations Board for the term of five years expiring August 27, 2020, vice Harry I. Johnson III, resigned."
6/26/17,no,Kyle Fortson,1,National Mediation Board,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/26/2017,Obama,"Kyle Fortson, of the District of Columbia, to be a Member of the National Mediation Board for a term expiring July 1, 2019, vice Nicholas Christopher Geale, term expired."
5/10/17,no,Robert L. Sumwalt III,1,National Transportation Safety Board,no,"Commerce, Science, and Transportation","Committee on Commerce, Science, and Transportation. Hearings held. (", 06/08/2017,Obama,"Robert L. Sumwalt III, of South Carolina, to be a Member of the National Transportation Safety Board for a term expiring December 31, 2021.  (Reappointment)"
6/6/17,no,David Wright,1,Nuclear Regulatory Commission,no,Environment and Public Works,Committee on Environment and Public Works. Hearings held. (, 06/13/2017,Obama,"David Wright, of South Carolina, to be a Member of the Nuclear Regulatory Commission for the term of five years expiring June 30, 2020, vice Jeffery Martin Baran, resigned."
6/6/17,yes,Kristine L. Svinicki,1,Nuclear Regulatory Commission,no,Environment and Public Works,Confirmed by the Senate by Yea-Nay Vote. 88, 06/26/2017,Obama,"Kristine L. Svinicki, of Virginia, to be a Member of the Nuclear Regulatory Commission for the term of five years expiring June 30, 2022.  (Reappointment)"
6/6/17,no,Annie Caputo,1,Nuclear Regulatory Commission,no,Environment and Public Works,Committee on Environment and Public Works. Hearings held. (, 06/13/2017,Obama,"Annie Caputo, of Virginia, to be a Member of the Nuclear Regulatory Commission for the term of five years expiring June 30, 2021, vice William Charles Ostendorff, term expired."
5/25/17,no,Heather L. MacDougall,1,Occupational Safety and Health Review Commission,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 05/25/2017,Obama,"Heather L. MacDougall, of Florida, to be a Member of the Occupational Safety and Health Review Commission for a term expiring April 27, 2023.  (Reappointment)"
5/16/17,no,James J. Sullivan Jr.,1,Occupational Safety and Health Review Commission,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 05/16/2017,Obama,"James J. Sullivan, Jr., of Pennsylvania, to be a Member of the Occupational Safety and Health Review Commission for a term expiring April 27, 2021, vice Thomasina Rogers, term expired."
5/25/17,no,George Nesterczuk,1,Office of Personnel Management,no,Homeland Security and Governmental Affairs,Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs. (, 05/25/2017,Obama,"George Nesterczuk, of Virginia, to be Director of the Office of Personnel Management for a term of four years, vice Katherine Archuleta, resigned."
6/5/17,no,Henry Kerner,1,Office of Special Counsel,no,Homeland Security and Governmental Affairs,Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs. (, 06/05/2017,Obama,"Henry Kerner, of California, to be Special Counsel, Office of Special Counsel, for the term of five years, vice Carolyn N. Lerner, term expired."
1/20/17,yes,Daniel Coats,1,Office of the Director of National Intelligence,no,Intelligence,Confirmed by the Senate by Yea-Nay Vote. 85, 03/15/2017,Obama,"Daniel Coats, of Indiana, to be Director of National Intelligence, vice James R. Clapper, Jr."
6/6/17,no,Ray Washburne,1,Overseas Private Investment Corporation,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"Ray Washburne, of Texas, to be President of the Overseas Private Investment Corporation, vice Elizabeth L. Littlefield."
6/6/17,no,David Steele Bohigian,1,Overseas Private Investment Corporation,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/06/2017,Obama,"David Steele Bohigian, of Missouri, to be Executive Vice President of the Overseas Private Investment Corporation, vice Mimi E. Alemayehou."
1/20/17,yes,Jay Clayton,1,Securities and Exchange Commission,no,"Banking, Housing, and Urban Affairs",Confirmed by the Senate by Yea-Nay Vote. 61, 05/02/2017,Obama,"Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission for a term expiring June 5, 2021, vice Daniel M. Gallagher, Jr. (term expired)."
3/27/17,no,Althea Coetzee,1,Small Business Administration,no,Small Business and Entrepreneurship,Placed on Senate Executive Calendar. Calendar No. 98. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 05/24/2017,Obama,"Althea Coetzee, of Virginia, to be Deputy Administrator of the Small Business Administration, vice Douglas J. Kramer."
1/20/17,yes,Linda E. McMahon,1,Small Business Administration,no,Small Business and Entrepreneurship,Confirmed by the Senate by Yea-Nay Vote. 81, 02/14/2017,Obama,"Linda E. McMahon, of Connecticut, to be Administrator of the Small Business Administration, vice Maria Contreras-Sweet, resigned."
2/1/17,yes,Neil M. Gorsuch,1,Supreme Court of the United States,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 54, 04/07/2017,Obama,"Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States, vice Antonin Scalia, deceased."
6/19/17,no,Stephanos Bibas,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/19/2017,Obama,"Stephanos Bibas, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Marjorie O. Rendell, retired."
6/12/17,no,Claria Horn Boom,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/12/2017,Obama,"Claria Horn Boom, of Kentucky, to be United States District Judge for the Eastern and Western Districts of Kentucky, vice Jennifer B. Coffman, retired."
6/7/17,no,Joseph L. Toth,1,The Judiciary,no,Veterans' Affairs,Received in the Senate and referred to the Committee on Veterans' Affairs. (, 06/07/2017,Obama,"Joseph L. Toth, of Wisconsin, to be a Judge of the United States Court of Appeals for Veterans Claims for the term of fifteen years, vice Lawrence B. Hagel, retired."
6/7/17,no,Amanda L. Meredith,1,The Judiciary,no,Veterans' Affairs,Received in the Senate and referred to the Committee on Veterans' Affairs. (, 06/07/2017,Obama,"Amanda L. Meredith, of Virginia, to be a Judge of the United States Court of Appeals for Veterans Claims for the term of fifteen years, vice William A. Moorman, retired."
6/7/17,no,Michael P. Allen,1,The Judiciary,no,Veterans' Affairs,Received in the Senate and referred to the Committee on Veterans' Affairs. (, 06/07/2017,Obama,"Michael P. Allen, of Florida, to be a Judge of the United States Court of Appeals for Veterans Claims for the term of fifteen years, vice Bruce E. Kasold, term expired."
6/7/17,no,Stephen S. Schwartz,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Stephen S. Schwartz, of Virginia, to be a Judge of the United States Court of Federal Claims for a term of fifteen years, vice Lynn Jeanne Bush, term expired."
6/7/17,no,Trevor N. McFadden,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Trevor N. McFadden, of Virginia, to be United States District Judge for the District of Columbia, vice Richard J. Leon, retired."
6/7/17,no,Timothy J. Kelly,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Timothy J. Kelly, of the District of Columbia, to be United States District Judge for the District of Columbia, vice Rosemary M. Collyer, retired."
6/7/17,no,Dabney Langhorne Friedrich,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Dabney Langhorne Friedrich, of California, to be United States District Judge for the District of Columbia, vice Reggie B. Walton, retired."
6/7/17,no,Ralph R. Erickson,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Ralph R. Erickson, of North Dakota, to be United States Circuit Judge for the Eighth Circuit, vice Kermit E. Bye, retired."
6/7/17,no,Allison H. Eid,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Allison H. Eid, of Colorado, to be United States Circuit Judge for the Tenth Circuit, vice Neil M. Gorsuch, elevated."
