received,confirmed,name,nom_count,agency,duplicate,committee,latest_action,latest_action_date,potus,desc
6/6/17,no,Owen West,1,Department of Defense,no,Armed Services,Received in the Senate and referred to the Committee on Armed Services. (, 06/06/2017,Obama,"Owen West, of Connecticut, to be an Assistant Secretary of Defense, vice Michael D. Lumpkin."
6/6/17,no,Charles Douglas Stimson,1,Department of Defense,no,Armed Services,Received in the Senate and referred to the Committee on Armed Services. (, 06/06/2017,Obama,"Charles Douglas Stimson, of Virginia, to be General Counsel of the Department of the Navy, vice Paul Luis Oostburg Sanz."
6/6/17,no,Richard V. Spencer,1,Department of Defense,no,Armed Services,Received in the Senate and referred to the Committee on Armed Services. (, 06/06/2017,Obama,"Richard V. Spencer, of Wyoming, to be Secretary of the Navy, vice Raymond Edwin Mabus, Jr."
5/25/17,no,Robert R. Hood,1,Department of Defense,no,See S. Res. 116 - 112th Congress,Committee requested information was received. (, 06/14/2017,Obama,"Robert R. Hood, of Georgia, to be an Assistant Secretary of Defense, vice Stephen C. Hedger."
4/28/17,no,David Joel Trachtenberg,1,Department of Defense,no,Armed Services,Received in the Senate and referred to the Committee on Armed Services. (, 04/28/2017,Obama,"David Joel Trachtenberg, of Virginia, to be a Principal Deputy Under Secretary of Defense, vice Brian P. McKeon."
4/28/17,no,Ryan Dean Newman,1,Department of Defense,no,Armed Services,Received in the Senate and referred to the Committee on Armed Services. (, 04/28/2017,Obama,"Ryan Dean Newman, of New Mexico, to be General Counsel of the Department of the Army, vice Alissa M. Starzak."
4/25/17,yes,Kenneth P. Rapuano,1,Department of Defense,no,Armed Services,Confirmed by the Senate by Yea-Nay Vote. 95, 06/12/2017,Obama,"Kenneth P. Rapuano, of Virginia, to be an Assistant Secretary of Defense, vice Eric Rosenbach, resigned."
4/25/17,yes,Robert Story Karem,1,Department of Defense,no,Armed Services,Confirmed by the Senate by Voice Vote. (, 05/25/2017,Obama,"Robert Story Karem, of the District of Columbia, to be an Assistant Secretary of Defense, vice Derek H. Chollet, resigned."
4/25/17,no,Robert Daigle,1,Department of Defense,no,Armed Services,Placed on Senate Executive Calendar. Calendar No. 63. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 05/23/2017,Obama,"Robert Daigle, of Virginia, to be Director of Cost Assessment and Program Evaluation, Department of Defense, vice Jamie Michael Morin."
4/25/17,yes,Kari A. Bingen,1,Department of Defense,no,Armed Services,Confirmed by the Senate by Voice Vote. (, 05/25/2017,Obama,"Kari A. Bingen, of Virginia, to be a Principal Deputy Under Secretary of Defense, vice Marcel J. Lettre II, resigned."
4/24/17,no,Elaine McCusker,1,Department of Defense,no,Armed Services,Placed on Senate Executive Calendar. Calendar No. 61. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 05/23/2017,Obama,"Elaine McCusker, of Virginia, to be a Principal Deputy Under Secretary of Defense, vice John Conger."
4/6/17,yes,David L. Norquist,1,Department of Defense,no,Armed Services,Confirmed by the Senate by Voice Vote. (, 05/25/2017,Obama,"David L. Norquist, of Virginia, to be Under Secretary of Defense (Comptroller), vice Michael J. McCord."
3/21/17,yes,Heather Wilson,1,Department of Defense,no,Armed Services,Confirmed by the Senate by Yea-Nay Vote. 76, 05/08/2017,Obama,"Heather Wilson, of South Dakota, to be Secretary of the Air Force, vice Deborah Lee James."
1/20/17,no,Vincent Viola,1,Department of Defense,no,Armed Services,Received message of withdrawal of nomination from the President. (, 03/21/2017,Obama,"Vincent Viola, of New York, to be Secretary of the Army, vice Eric Kenneth Fanning."
1/20/17,yes,James Mattis,1,Department of Defense,no,,Confirmed by the Senate by Yea-Nay Vote. 98, 01/20/2017,Obama,"James Mattis, of Washington, to be Secretary of Defense."
6/6/17,no,Carlos G. Muniz,1,Department of Education,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/06/2017,Obama,"Carlos G. Muniz, of Florida, to be General Counsel, Department of Education, vice James Cole, Jr."
6/6/17,no,Peter Louis Oppenheim,1,Department of Education,no,See S. Res. 116 - 112th Congress,"Placed on Senate Executive Calendar in the Privileged Nomination section with nominee information requested by the Committee on Health, Education, Labor, and Pensions, pursuant to S.Res. 116, 112th Congress. (", 06/06/2017,Obama,"Peter Louis Oppenheim, of Maryland, to be Assistant Secretary for Legislation and Congressional Affairs, Department of Education, vice Julius Lloyd Horwich."
1/20/17,yes,Elisabeth Prince DeVos,1,Department of Education,no,"Health, Education, Labor, and Pensions",Motion by Senator McConnell to reconsider tabled in Senate by Voice Vote. (, 02/07/2017,Obama,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education."
5/25/17,no,David S. Jonas,1,Department of Energy,no,Energy and Natural Resources,Received in the Senate and referred to the Committee on Energy and Natural Resources. (, 05/25/2017,Obama,"David S. Jonas, of Virginia, to be General Counsel of the Department of Energy, vice Steven Croley, resigned."
5/16/17,no,Dan R. Brouillette,1,Department of Energy,no,Energy and Natural Resources,Placed on Senate Executive Calendar. Calendar No. 103. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/06/2017,Obama,"Dan R. Brouillette, of Texas, to be Deputy Secretary of Energy, vice Elizabeth Sherwood-Randall."
1/20/17,yes,James Richard Perry,1,Department of Energy,no,Energy and Natural Resources,Confirmed by the Senate by Yea-Nay Vote. 62, 03/02/2017,Obama,"James Richard Perry, of Texas, to be Secretary of Energy."
6/20/17,no,Lance Allen Robertson,1,Department of Health and Human Services,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/20/2017,Obama,"Lance Allen Robertson, of Oklahoma, to be Assistant Secretary for Aging, Department of Health and Human Services, vice Kathy J. Greenlee."
6/15/17,no,Elinore F. McCance-Katz,1,Department of Health and Human Services,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/15/2017,Obama,"Elinore F. McCance-Katz, of Rhode Island, to be Assistant Secretary for Mental Health and Substance Use, Department of Health and Human Services, vice Pamela S. Hyde."
6/15/17,no,Lynn A. Johnson,1,Department of Health and Human Services,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 06/15/2017,Obama,"Lynn A. Johnson, of Colorado, to be Assistant Secretary for Family Support, Department of Health and Human Services, vice Carmen R. Nazario."
6/6/17,no,Stephen Parente,1,Department of Health and Human Services,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 06/06/2017,Obama,"Stephen Parente, of Minnesota, to be an Assistant Secretary of Health and Human Services, vice Richard G. Frank."
6/6/17,no,Robert Charrow,1,Department of Health and Human Services,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 06/06/2017,Obama,"Robert Charrow, of Maryland, to be General Counsel of the Department of Health and Human Services, vice William B. Schultz."
5/25/17,no,Brett Giroir,1,Department of Health and Human Services,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 05/25/2017,Obama,"Brett Giroir, of Texas, to be Medical Director in the Regular Corps of the Public Health Service, subject to the qualifications therefor as provided by law and regulations, and to be an Assistant Secretary of Health and Human Services, vice Howard K. Koh, resigned."
5/8/17,no,Matthew Bassett,1,Department of Health and Human Services,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 05/08/2017,Obama,"Matthew Bassett, of Tennessee, to be an Assistant Secretary of Health and Human Services, vice Jim R. Esquea."
4/6/17,no,Eric D. Hargan,1,Department of Health and Human Services,no,Finance,Placed on Senate Executive Calendar. Calendar No. 112. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"Eric D. Hargan, of Illinois, to be Deputy Secretary of Health and Human Services, vice William V. Corr, resigned."
3/27/17,yes,Scott Gottlieb,1,Department of Health and Human Services,no,"Health, Education, Labor, and Pensions",Confirmed by the Senate by Yea-Nay Vote. 57, 05/09/2017,Obama,"Scott Gottlieb, of Connecticut, to be Commissioner of Food and Drugs, Department of Health and Human Services, vice Robert McKinnon Califf."
1/20/17,yes,Seema Verma,1,Department of Health and Human Services,no,Finance,Confirmed by the Senate by Yea-Nay Vote. 55, 03/13/2017,Obama,"Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services, vice Marilyn B. Tavenner."
1/20/17,yes,Thomas Price,1,Department of Health and Human Services,no,Finance,Confirmed by the Senate by Yea-Nay Vote. 52, 02/10/2017,Obama,"Thomas Price, of Georgia, to be Secretary of Health and Human Services."
6/6/17,no,David P. Pekoske,1,Department of Homeland Security,no,"Commerce, Science, and Transportation","Committee on Commerce, Science, and Transportation. Hearings held. (", 06/21/2017,Obama,"David P. Pekoske, of Maryland, to be an Assistant Secretary of Homeland Security, vice Peter V. Neffenger."
5/22/17,no,Kevin K. McAleenan,1,Department of Homeland Security,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 05/22/2017,Obama,"Kevin K. McAleenan, of Hawaii, to be Commissioner of U.S. Customs and Border Protection, Department of Homeland Security, vice R. Gil Kerlikowske."
5/18/17,no,Claire M. Grady,1,Department of Homeland Security,no,Homeland Security and Governmental Affairs,Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs. (, 05/18/2017,Obama,"Claire M. Grady, of Pennsylvania, to be Under Secretary for Management, Department of Homeland Security, vice Russell C. Deyo."
5/11/17,yes,Brock Long,1,Department of Homeland Security,no,Homeland Security and Governmental Affairs,Confirmed by the Senate by Yea-Nay Vote. 95, 06/20/2017,Obama,"Brock Long, of North Carolina, to be Administrator of the Federal Emergency Management Agency, Department of Homeland Security, vice William Craig Fugate, resigned."
4/25/17,no,Lee Francis Cissna,1,Department of Homeland Security,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 119. (, 06/15/2017,Obama,"Lee Francis Cissna, of Maryland, to be Director of United States Citizenship and Immigration Services, Department of Homeland Security, vice Leon Rodriguez."
4/24/17,no,David James Glawe,1,Department of Homeland Security,no,Intelligence,Received in the Senate and referred to the Select Committee on Intelligence. (, 04/24/2017,Obama,"David James Glawe, of Iowa, to be Under Secretary for Intelligence and Analysis, Department of Homeland Security, vice Francis Xavier Taylor."
2/8/17,yes,Elaine C. Duke,1,Department of Homeland Security,no,Homeland Security and Governmental Affairs,Confirmed by the Senate by Yea-Nay Vote. 85, 04/04/2017,Obama,"Elaine C. Duke, of Virginia, to be Deputy Secretary of Homeland Security, vice Alejandro Nicholas Mayorkas."
1/20/17,yes,John F. Kelly,1,Department of Homeland Security,no,,Confirmed by the Senate by Yea-Nay Vote. 88, 01/20/2017,Obama,"John F. Kelly, of Virginia, to be Secretary of Homeland Security."
6/20/17,no,Anna Maria Farias,1,Department of Housing and Urban Development,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 06/20/2017,Obama,"Anna Maria Farias, of Texas, to be an Assistant Secretary of Housing and Urban Development, vice Gustavo Velasquez Aguilar, resigned."
5/25/17,no,Neal J. Rackleff,1,Department of Housing and Urban Development,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 05/25/2017,Obama,"Neal J. Rackleff, of Texas, to be an Assistant Secretary of the Department of Housing and Urban Development, vice Mercedes Marquez."
5/25/17,no,J. Paul Compton Jr.,1,Department of Housing and Urban Development,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 05/25/2017,Obama,"J. Paul Compton, Jr., of Alabama, to be General Counsel of the Department of Housing and Urban Development, vice Helen R. Kanovsky, resigned."
4/28/17,no,Pamela Hughes Patenaude,1,Department of Housing and Urban Development,no,"Banking, Housing, and Urban Affairs",Placed on Senate Executive Calendar. Calendar No. 109. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate. (, 06/14/2017,Obama,"Pamela Hughes Patenaude, of New Hampshire, to be Deputy Secretary of Housing and Urban Development, vice Nani A. Coloretti."
1/20/17,yes,Benjamin S. Carson Sr.,1,Department of Housing and Urban Development,no,"Banking, Housing, and Urban Affairs",Confirmed by the Senate by Yea-Nay Vote. 58, 03/02/2017,Obama,"Benjamin S. Carson, Sr., of Florida, to be Secretary of Housing and Urban Development."
6/26/17,no,Christopher A. Wray,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/26/2017,Obama,"Christopher A. Wray, of Georgia, to be Director of the Federal Bureau of Investigation for a term of ten years, vice James B. Comey, Jr."
6/15/17,no,John E. Town,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"John E. Town, of Alabama, to be United States Attorney for the Northern District of Alabama for the term of four years, vice Joyce White Vance, resigned."
6/15/17,no,Richard W. Moore,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"Richard W. Moore, of Alabama, to be United States Attorney for the Southern District of Alabama for the term of four years, vice Kenyen Ray Brown, resigned."
6/15/17,no,Jessie K. Liu,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"Jessie K. Liu, of Virginia, to be United States Attorney for the District of Columbia for the term of four years, vice Ronald C. Machen, Jr., resigned."
6/15/17,no,John W. Huber,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"John W. Huber, of Utah, to be United States Attorney for the District of Utah for the term of four years.  (Reappointment)"
6/15/17,no,Justin E. Herdman,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"Justin E. Herdman, of Ohio, to be United States Attorney for the Northern District of Ohio for the term of four years, vice Carole Schwartz Rendon, resigned."
6/15/17,no,Louis V. Franklin Sr.,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"Louis V. Franklin, Sr., of Alabama, to be United States Attorney for the Middle District of Alabama for the term of four years, vice George L. Beck, Jr., resigned."
6/15/17,no,D. Michael Dunavant,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/15/2017,Obama,"D. Michael Dunavant, of Tennessee, to be United States Attorney for the Western District of Tennessee for the term of four years, vice Edward L. Stanton III, resigned."
6/12/17,no,Beth Ann Williams,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/12/2017,Obama,"Beth Ann Williams, of New Jersey, to be an Assistant Attorney General, vice Christopher H. Schroeder."
6/7/17,no,Jeffrey Bossert Clark,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/07/2017,Obama,"Jeffrey Bossert Clark, of Virginia, to be an Assistant Attorney General, vice John Charles Cruden."
6/6/17,no,Brian Allen Benczkowski,1,Department of Justice,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 06/06/2017,Obama,"Brian Allen Benczkowski, of Virginia, to be an Assistant Attorney General, vice Leslie Ragon Caldwell."
4/25/17,no,Stephen Elliott Boyd,1,Department of Justice,no,See S. Res. 116 - 112th Congress,Committee on the Judiciary. Hearings held. (, 05/24/2017,Obama,"Stephen Elliott Boyd, of Alabama, to be an Assistant Attorney General, vice Peter Joseph Kadzik."
4/24/17,no,Noel J. Francisco,1,Department of Justice,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 105. (, 06/08/2017,Obama,"Noel J. Francisco, of the District of Columbia, to be Solicitor General of the United States, vice Donald B. Verrilli, Jr., resigned."
4/6/17,no,Makan Delrahim,1,Department of Justice,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 106. (, 06/08/2017,Obama,"Makan Delrahim, of California, to be an Assistant Attorney General, vice William Joseph Baer, resigned."
2/1/17,no,Steven Andrew Engel,1,Department of Justice,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 107. (, 06/08/2017,Obama,"Steven Andrew Engel, of the District of Columbia, to be an Assistant Attorney General, vice Virginia A. Seitz, resigned."
2/1/17,yes,Rachel L. Brand,1,Department of Justice,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 52, 05/18/2017,Obama,"Rachel L. Brand, of Iowa, to be Associate Attorney General, vice Derek Anthony West, resigned."
2/1/17,yes,Rod J. Rosenstein,1,Department of Justice,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 94, 04/25/2017,Obama,"Rod J. Rosenstein, of Maryland, to be Deputy Attorney General, vice Sally Quillian Yates, resigned."
